song,artist,class,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Krazy,Pitbull Featuring Lil Jon,2,5knxa9j29AigAUHKxnB7m5,19,0.772,0.843,11,-7.061,0,0.058,0.0164,0.00316,0.0895,0.59,124.99,228654,4
Krazy,Blackgirl,9,5Pli7y7DiK19rF0JL6Nsqi,56,0.589,0.798,11,-6.273,1,0.309,0.00226,5.53e-06,0.353,0.373,162.07,142697,4
Kream,Iggy Azalea Feauring Tyga,9,5mu1uv8RmzDkF8foePK5qa,65,0.785,0.425,10,-6.665,1,0.137,0.0335,4.36e-06,0.108,0.192,174.028,166627,4
"Krippy Kush,Farruko, Nicki Minaj, Bad Bunny", 21 Savage & Rvssian,7,038kavjqUaGIYZL5lYocvX,49,0.743,0.671,9,-5.241,1,0.122,0.0512,0.0,0.116,0.499,163.229,237160,4
Kryptonite (I'm On It),Purple Ribbon All-Stars,3,2cZGzWnWQtIhNlsROLJdDd,26,0.831,0.575,1,-10.81,0,0.475,0.136,0.0,0.0689,0.526,126.98,151235,4
Kufanya Mapenzi (Making Love),Ramsey Lewis,9,76CQdgUYbapZv7KWY2x9Uq,8,0.479,0.766,6,-13.807,0,0.0706,0.00169,0.881,0.149,0.701,102.915,314773,4
Kum Ba Yah,Tommy Leonetti,5,3LYHDM11CDhhJdbRW9LfkL,53,0.562,0.36,11,-10.209,1,0.0564,0.924,0.0,0.188,0.399,143.871,68480,3
Kung Fu,Curtis Mayfield,3,0WNXlCwsn9npUGGG45B2XA,29,0.887,0.501,1,-9.802,0,0.0461,0.338,0.0601,0.0795,0.965,115.734,372827,4
Kush,Dr. Dre Featuring Snoop Dogg & Akon,3,2QVYTN3Z0IGLVF7YEQN5EJ,51,0.383,0.731,1,-5.996,1,0.201,0.726,0.0,0.504,0.306,176.781,304668,4
Kyoto,Skrillex Featuring Sirah,7,3FUZpoj9VV0sgc8RqbS3xQ,60,0.605,0.92,4,-2.298,0,0.0713,0.0012,0.000596,0.483,0.219,174.974,200787,4
L$D,A$AP Rocky,6,7ycWLEP1GsNjVvcjawXz3z,81,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040,4
L-L-Lies,Diana King,7,2RXOXKIx5mOUgYWMYwoW1t,39,0.757,0.791,0,-6.706,1,0.049,0.0514,0.000186,0.0895,0.821,98.008,248160,4
L-O-N-E-L-Y,Bobby Vinton,2,148AveuUtKLg4zzs53xGwb,17,0.253,0.309,8,-10.45,1,0.0322,0.853,0.0,0.262,0.23,94.867,146333,3
L-O-V-E,Nat King Cole,8,4QxDOjgpYtQDxxbWPuEJOy,72,0.425,0.373,4,-7.543,1,0.0801,0.686,0.0,0.077,0.663,78.231,155307,4
L-O-V-E (Love),Al Green,1,49qkJtDdi3KHmENFzleve4,54,0.665,0.468,5,-9.558,1,0.027,0.019,0.0,0.0987,0.699,109.432,189307,4
L. David Sloane,Michele Lee,5,0WR2ShQK2lmbjiyXw7nanO,1,0.89,0.468,5,-9.645,1,0.119,0.697,0.0,0.0414,0.892,123.677,129227,4
L.A. Goodbye,The Ides Of March,7,5sVXeQxxtGZHrUYLzDkbYd,17,0.531,0.455,1,-13.941,1,0.0444,0.529,2.63e-05,0.0612,0.751,94.829,171733,4
L.A. International Airport,Susan Raye,5,3ep2JeuUdSlMm8JfwKbY15,39,0.622,0.568,10,-9.785,1,0.0393,0.802,0.0,0.221,0.848,109.097,171000,4
L.A. Song,Beth Hart,8,7215hi8TSJYPzk2eeI2udu,12,0.351,0.615,7,-7.621,1,0.0451,0.206,0.0,0.985,0.337,127.798,271107,3
L.A. Woman,Billy Idol,5,4I2GdvjRKP5KbTUn43dPsK,41,0.389,0.936,2,-5.649,1,0.0476,0.0511,0.00171,0.0745,0.58,179.17,330600,4
L.A.LOVE (la la),Fergie,2,5h2nC1QYVpK0AJra70Ja3p,64,0.509,0.482,7,-6.965,1,0.176,0.0186,0.0,0.238,0.301,101.042,211512,4
L.O.V.E.,Ashlee Simpson,2,7H2TYuu6OmqkxQD3LIZRC7,42,0.588,0.828,5,-3.309,0,0.0538,0.00298,0.00203,0.644,0.938,191.874,153053,4
L.a. Freeway,Jerry Jeff Walker,9,2xoWxeqn3pl5cqNSAbYjlK,35,0.516,0.561,10,-10.279,1,0.036,0.331,1.59e-05,0.21,0.791,119.86,289133,4
L.a. Sunshine,War,4,5bWOqGYhFvw1BjSozWRi4L,16,0.785,0.577,10,-13.556,1,0.093,0.576,0.159,0.0946,0.845,107.461,241733,4
LET's PRETEND WE'rE MARRIED,Prince,5,1gaubSBzxXC1PyHGAzHbI3,32,0.787,0.668,10,-7.599,0,0.182,0.00875,0.000242,0.431,0.807,184.652,439994,4
LIFTED,CL,9,0eqvTUsVkEJsD2sz6zFieN,46,0.369,0.698,0,-4.155,1,0.156,0.0015,0.0,0.217,0.286,181.353,175402,4
LIGHTSKIN SH*T,DaBaby Featuring Future & jetsonmade,5,16oi4OiKmkO51l60F5R9kR,49,0.932,0.578,9,-4.478,1,0.366,0.115,0.0,0.115,0.623,129.991,111173,4
LOL :-),Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em,5,1Ug1mV9h5qVSs4rvvnQWux,55,0.69,0.76,0,-4.778,1,0.0587,0.0678,0.0,0.184,0.468,89.958,247933,4
La Bamba,Ritchie Valens,2,2aEeghgUcnu75tzcolFMfs,65,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,126960,4
La Bamba - Part I,Trini Lopez,8,2aEeghgUcnu75tzcolFMfs,65,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,126960,4
La Bicicleta,Carlos Vives & Shakira,9,03uNMhq7nNEgJVzCz9vB1Q,7,0.764,0.815,9,-7.494,0,0.061,0.0016,0.757,0.361,0.822,89.983,226481,4
La Bomba,Azul Azul,6,0Tl84qfow6Dv0PM60zoBhb,65,0.923,0.768,1,-7.321,1,0.0674,0.119,0.0,0.0689,0.96,94.013,123960,4
